id,product,compensation_id,product_id,reviewer_id,ratings,review_content,proof
16,Reading Pillow,0,16,1,5,"This was exactly what I needed.  So much show that I don't use my regular pillows anymore. It majorly helped with my back and neck issues. It also comes in handy when I need a supportive back when I sit on the floor to work on my laptop. I kind of wish the cover was removable so that it is easier to clean, but overall, I am 5 with this pillow.",
17,Laptop table,0,17,1,5,"First, I like that it has 2 built-in fans, and an adjustable/retractable USB cable to connect to my laptop.  It also has a space for my cell phone and drawer for storage. I love that it is made of Bamboo, and is remarkably sturdy.  My goddaughters (ages 3-8) have all at one point stepped on, knocked it off a table, or tried to sit on it. So far, it has survived.  Because of its adjustable height, I can place it on a table or counter and turn it into a standing work desk.  What I dislike is that I can't detach the cover over the fans, making it difficult to clean (not impossible) to clean the fans.  However, they work really well at keeping my laptop from overheating.",
18,Organic Methi (Fenugreek seeds),0,18,1,5,"I love that it is certified organic. I love the aroma when you first open the package. The maple syrup odor is not overwhelming and doesn't seem to linger as it does with the capsules. It makes a delicious tea. When mixed with fennel seeds, it has a settling effect on my stomach and has helped tremendously when sipped post meals. Also, makes a good hair rinse after a mask treatment.",
19,MSM Powder,0,19,1,4,"I ordered this because the powder that I normally buy was out of stock. In addition, this company has a pretty decent reputation, so I felt relatively safe that I wasn't going to get MSM powder mixed with anything else. I really like how quickly this powder dissolves in liquid. I like that is Non-GMO and that it is a vegan product.  What I really dislike is that, unlike the other powders that I have used in the past, this one does not come with any sort of measuring instrument. The size of the bottle can accommodate one, so I'm not sure why it isn't included. I also don't like that is can leave a bit of an aftertaste at 1/2 teaspoon, so I had to cut the recommended dosage. I think this is a decent alternative/ backup to my usual product choose.",
20,AmazonBasics Fade Resistant Cotton Towel Set,0,20,1,2,"I like that it's affordable, that the towels are fairly soft, and that the set includes 2 of everything. I dislike that the threads began unraveling after 3 washes, that the towels shed like crazy, and that the towels take a long time to dry.",
21,Andis Quiet Wall Mounted Hair Dryer,0,21,1,5,"I like that it's easy to mount (only took a few minutes), that it doesn't take up a lot of space, that it's fairly powerful (despite its size), and that it comes with a nightlight attached. The only thing I dislike about it is that it's a bit louder than most hair dryers.",
22,Tom Clancys The Division,0,22,1,4,Graphics of Tom Clancy's The Division is awesome. But game story is not that much impressive. Honestly little boring. I didn't face any glitches during game. ,
23,Serta Perfect Sleeper Standard/Queen Bed Pillows,0,23,1,5,"I like that they're affordable, eco-friendly, soft without being flimsy, stuffed completely (no gaps at all), and hold their shape fairly well (even after over 3 years). The only thing I dislike is that they're a little too narrow--it would be nice if they were just 2 inches wider.",
24,Calpak 20-Inch Carry-On Lightweight Expandable Hardsided Upright Suitcase,0,24,1,5,"I like that it is very compact (can fit in even the tiniest overhead bins), durable, has a long handle, has wheels that roll very smoothly, is surprisingly roomy (used it as only suitcase for a week long trip and I don't pack light), can be compressed and expanded, is aesthetically-pleasing, and is very affordable. The only thing I dislike about it is the combination lock because, despite the instructions, I still can't figure out how to use it; it's also possible that it's just broken. ",
25,Accuteck Digital Postal Scale with AC Adapter,0,25,1,5,"I like that it is very accurate and consistent, compact, easy to read, capable of taring, has a large capacity, and has a mailer holder that can be used to weigh packages that are awkwardly-shaped. There's nothing that I dislike about it.",
26,Etekcity Digital Hanging Luggage Scale,0,26,1,1,"The only thing I like about it is that it's cheap. What I dislike about it is that it's consistently off by at least 4 pounds, it's flimsy (the triangle connecting the body to the the part were the luggage hands bent when measuring luggage significantly under the weight capacity), and that the battery died about a week after I purchased it. ",
27,ORE International 5 Arm Arch Floor Lamp,0,27,1,4,"I like how modern it looks, that the arms are adjustable, that it's dimmable, and that it's sturdy (once the arms are properly positioned, they stay there instead of swinging around and also the base is nice and heavy so the entire thing can't tip over). What I dislike about it is how difficult it was to assemble (the instructions were terrible), that it's at least 6 inches taller than advertised (but luckily I have high ceilings, so this wasn't an issue), and that the base is ugly.",
28,"Technivorm Moccamaster 59462 KBG Coffee Brewer, 40 oz, Black",0,28,1,5,"If you love great coffee, buy this machine. When I say great coffee, I mean the kind of coffee you would expect and get from your favorite local coffee roaster/caf?? or quality coffee shop (think Starbucks or Peet's, NOT the tasteless brown water that Dunkin' Donuts sells).    I've wanted a Moccamaster since I first saw one and tasted the coffee it makes while a college student, way back in the 1980s. Owning one at the time was impractical and unattainable, so I moved on. Over the intervening thirty years, I've always lingered enviously over the store displays whenever I encountered them, but never made the plunge?�?the machine was just too expensive. That being said, I've owned the best coffee makers from Braun, Krups, Kitchen Aid, and Breville, all of which made decent coffee. In fact, the Breville made great coffee, although its cost was dangerously close the the Technivorm's. That machine was the no-longer-available Breville BKC600XL Gourmet Single-Cup Coffee Brewer?�?the only Keurig system coffee maker the brewed hot enough for decent extraction. That machine lasted eight years, but finally shorted out due to perforation of the boiler element because of it's aluminum construction.",
29,"heerwing Syma X5SW-V3 WiFi FPV Drone 2.4Ghz 4CH 6-Axis Gyro RC Quadcopter Drone with Camera, White",0,29,1,5,"Yes it has a real time fpv camrea the only thing u need is a android or apple product then just download the skyma fpv app everything else is already included!  Note: Do not solely rely on the fpv cam for flying as it has some delay and glitche! But the recorded video turns out pretty good! This Cheerwing Syma X5SW-V3 Drone has built-in 6-axis gyro based on 4 channels ensures a stable and fast flight, ensures a stable and fast flight. Wifi FPV Real-time Transmission, Headless Mode, One key 360?? roll, make it as an Ideal Gift Toys for kids and adults, beginners, pilots of all skill levels.",
30,"Uitee Sport Watch Band Compatible with Apple Watch 38mm 40mm 42mm 44mm, Soft Silicone Bands Replacement Strap Compatible with Apple Watch Series 4/3/2/1 S/M M/L",0,30,1,4,"They have only size 38mm(40mm) and 42mm(44mm) strap,42mm(44mm) fits for 145?�?220mm(5.7""-8.79"") wrists.   An innove pin-and-tuck closure ensures a clean fit. Metal parts made with hypoallergenic nickel free stainless steel. Soft silicone with smooth finish for a sporty look. Comfortable and durable.  Band comes with Watch Lugs on both ends, which locks onto Watch Band Interface precisely and securely. Easy and direct installation and one button removal.  ONE YEAR WARRANTY: We promise 100% satisfaction customer service & free replacement or refund warranty. If your watch bands have any quality issue.Please contact us we unconditionally send you a new replacement one",
31,Men's DNA Necktie - DNA Necktie - DNA Tie - Biology Necktie - Scientist Necktie - Science Gift for Men - Geneticist Gift,0,31,1,4,"100% Handmade Necktie. Features black background with small white DNA motif. Slightly narrower than a classic tie, measures 2.75"" wide for a modern look and feel (this is 1/4"" narrower than a standard tie, and wider than most ""skinny ties."" ) Subtle and Professional - makes the perfect gift for a scientist, biologist, or geneticist in your life. Tie is handmade of 100% Microfiber - has a high-end look and feel. Tie features loop on back. Standard length.",
32,Astronomy Necktie - Astronomer Necktie - Astrology Necktie - Stargazing Gift - Astrology Gift - Telescope Gift - Stargazer Gift for Men,0,32,1,4,"100% Handmade Necktie. Features Blue background with small light gray telescope & stars motif. Slightly narrower than a classic tie, measures 2.75"" wide for a modern look and feel (this is 1/4"" narrower than a standard tie, and wider than most ""skinny ties."" ) Subtle and Professional - makes the perfect gift for an astronomer, astrologer, or stargazing enthusiast in your life. Tie is handmade of 100% Microfiber - has a high-end look and feel. Tie features loop on back. Standard length.",
33,Cat Necktie - Cat Neck Tie - Cats Necktie - Cats Tie - Cat Lover Gift - Veterinarian Necktie - Cat Lady Gift. ,0,33,1,4,"100% Handmade Necktie. Features light gray background with black cat in sunglasses motif. Slightly narrower than a classic tie, measures 2.75"" wide for a modern look and feel (this is 1/4"" narrower than a standard tie, and wider than most ""skinny ties."" ) Subtle and Professional - makes the perfect gift for a cat parent, veterinarian, or cat lover in your life. Tie is handmade of 100% Microfiber - has a high-end look and feel. Tie features loop on back. Standard length.",
34,Men's Barber Necktie - Men's Barber Tie - Scissors Necktie - Fashion Designer tie- Hairstylist Necktie - Men's Hairstylist Gift - Men's Barber gift - Men's Barbering Gift - Hairstylist gift for Men,0,34,1,4,"100% Handmade Necktie. Features Dark gray background with small light gray scissors motif. Slightly narrower than a classic tie, measures 2.75"" wide for a modern look and feel (this is 1/4"" narrower than a standard tie, and wider than most ""skinny ties."" ) Subtle and Professional - makes the perfect gift for a barber, hairstylist, or fashion designer in your life. Tie is handmade of 100% Microfiber - has a high-end look and feel. Tie features loop on back. Standard length",
35,Focusrite Scarlett Solo (2nd Gen) USB Audio Interface with Pro Tools Plus Audio-Technica AT2035 Condenser ,0,35,1,5,I love this mic and condenser because it makes my music quality sound so good. I disliked the mic stand because it?�?s not stable ,
36,L'Oreal Paris Infallible Never Fail Eyeliner,0,36,1,5,"This eyeliner is soft, but not so soft that it smears.  It is soft enough never to scratch the eye.  This is important since I use it for tightlining.  The price is good, and this is not surprising since L'Oreal is always fair about price.  Important for us working folk!  I like the color selection too.",
37,Douglas laboratories B complex w/metafolin,0,37,1,5,"I feel so much better when taking a high-strength B complex.  I discovered the magic of taking high-strength B complex 15 years ago, when suffering from fatigue and irritability.  This formula is better than many since it uses a patented methylation process to make sure that all the B vitamins are absorbed.  Since some people cannot absorb some of the Bs correctly, this formula is superior.  ",
38,Source Naturals Serene Science GABA Calm,0,38,1,5,"I like the flavor of these lozenges.  They really do work to make me feel calmer, quickly.  The effect is mild, they do not make me sleepy or lethargic.  Just softer and more relaxed, less likely to become aggravated.  When my adult daughter starts a conversation that I know will aggravate me, I place one of these under my tongue and then just nod my head.  Peace in the valley!",
39,Douglas Laboratories Niacinamide - Vitamin B3 to support cardiovascular health,0,39,1,5,"I have been taking 2 capsules, 5 days a week for almost 2 years.  I started taking this for joint pain, and it worked.  What a relief, I was really starting to avoid moving around due to wandering osteoarthritis pain that came and went all over my body.  I dreaded going on medication for that, heard that the meds would destroy my stomach.  I tried this, and within 2 weeks the pain vanished!  My skin has also gotten much prettier, this nutrient is good for so many things!",
40,Carlson Olive Your Heart Olive Oil and Fish Oil,0,40,1,5,"This blend is ideal for heart health, with a combination of olive oil and fish oil.  The lemon flavor masks the fish taste, which is faint.  I like taking a tablespoon of this each morning from the spoon washed down with my protein shake.  This allows me to start the day with a powerhouse supply of nutrients for brain and body.",
41,Designer Whey Protein Powder,0,41,1,5,"This whey powder is easy to use and tastes delicious.  I have been using this for 10 years.  Occasionally I have been tempted by other brands, and have tried those.  I always come back to Designer Whey.  I like it that they constantly conduct scientific research into how to make the product better, to support health and muscle development.",
42,Starbucks VIA Decaf Italian Coffee,0,42,1,5,"I love the flavor of this coffee.  It has the delicious semi-burnt flavor that is characteristic of Starbucks.  I like the single-serving packets, and it is much less expensive per serving than going to a Starbucks store to be served.  I never want to be without this coffee, and always order ahead.",
43,SoBe Water Variety Pack,0,43,1,5,"I love the flavors from Sobe, particularly the Blood Orange.  When I buy a Sobe, I get to have a treat without the sugar load.  All the flavors taste fresh, a little tart but sweet enough.  The size is good, can sip a 20 ounce all afternoon without worrying about tooth decay.",
44,Better Oats Raw Pure & Simple Organic Bare Instant Multigrain Hot Cereal with Flax,0,44,1,5,"This is the most delicious oatmeal I have ever eaten.  I like the pouches that allow me to quickly make just one serving at a time.  Ground flax seed is included, which adds flavor.  And all the fiber is good for lowering cholesterol!",
45,Chefs Star Professional Grade Stainless Steel Pot and Pan Set,0,45,1,5,"I like that they're durable, that the set includes a variety of sizes, that the set includes cooking utensils, that they're dishwasher safe, that they're oven-safe, that they haven't rusted at all (despite being washed many times over the past 3 years), that there are virtually no scratches yet (even after 3 years of constant use), that all except the frying pans have measurement markings inside, that the set includes a steamer basket and boiler basket (not many sets do), that it can be used on any type of stovetop (including induction), and that they're nicely weighted without being too heavy. The only thing I dislike about this set is that things stick to the pans, but that can be mostly avoided with a few tricks.",
46,Core Kitchen Bottle brush ,0,46,1,5,"For $3 this was a steal from Marshall's. It's 15"" long so it's perfect for cleaning my blender which I use daily.  It's mainly made of a thin plastic but seems pretty sturdy.",
47,J.A. Henckels International Statement Knife Block Set,0,47,1,5,"I like that the blades are incredibly sharp and stay sharp (I've had them for 3 years and haven't had to sharpen them yet), that the blades are stainless steel, that they don't rust (even when I let them air-dry), that the set includes every type of knife I need, and that the knives are fairly lightweight while still being sturdy/durable. The only thing I dislike about this is that the handles aren't very ergonomic; despite this, once you get used to using them, you don't really notice.",
48,Pink lady apples ,0,48,1,4,Pretty good price for these types of apples.  They were crisp yet a little sweet as they made a great addition to my lunch.,
49,CC Boards 3-Piece Nonslip Cutting Boards,0,49,1,5,"I like that there's a variety of sizes, that they're very durable (virtually no cutting marks even after 3 years of heavy use), that they're BPA-free, that it's non-porous so it doesn't absorb smells or anything else (unlike wood cutting boards), that they have built in drip catchers (so I don't make a mess when cutting things with liquid in them), that they're dishwasher safe, that they don't slip and slide on my counter, and that they don't get stained. There's nothing I dislike about this.",
50,Bar Keepers Friend Soft Cleanser Liquid,0,50,1,5,"What I like about it is that it works incredibly well without damaging my stainless steel pots and pans, that it comes with scouring cloths, that it was able to clean years old stains on my stove, and that it can also be used to effectively clean things all over the house (faucets, grout, etc.). What I dislike about it is the smell (it smells more than a bit toxic).",
51,Cole & Mason Oil and Vinegar Mister,0,51,1,2,"I like that it looks nice and is cheap. What I dislike is the size (it's too small), that it's made out of plastic instead of glass, that you have to pump the top before each spray if you want a fine mist, that it regularly clogs, and that the nozzle leaks after each spray (and gets oil all over the bottle).",
52,Home-X - Silicone Basting Brushes,0,52,1,5,"I like that the bristles aren't too stiff, that the brush portion can be removed (which makes cleaning it a lot easier), that nothing really sticks to the bristles or gets stuck in them, that it's dishwasher safe, and that the brush dries very quickly. There's nothing I dislike about it.",
53,Rubbermaid Easy Find Lids Food Storage Containers,0,53,1,5,"I like that the set includes a variety of sizes, that the lids snap into each other (which makes them harder to lose), that it's durable, that it's microwave and dishwasher safe, and that the lids fit very snugly for a tight seal. The only thing I dislike is that there isn't much variety, shape-wise; it would be nice if there were some pieces that were wider/rectangular and shorter.",
54,OXO Good Grips 2-Cup Angled Measuring Cup,0,54,1,4,"I like that the capacity is 2 cups instead of 1 cup, that the measurements can be read from above as well as the side, that it's dishwasher safe, that it has a silicone handle (so it's less slippery), and that it's durable (it has been dropped multiple times and didn't get damaged). What I dislike about it is that the design makes it harder to clean and also that the design makes it harder to mix things directly in the cup.",
55,Sagler Stainless Steel Mixing Bowls Set of 5,0,55,1,5,"I like that the set includes every mixing bowl size I could ever need, that each bowl has a lid (so I don't need to use plastic wrap when refrigerating dough or batter), that it comes with graters that allow me to grate directly into the bowl, that the bowls have silicone bottoms (so they don't slip around), that the bowls are stainless steel, that everything is dishwasher safe, that they're surprising light while still being sturdy and durable, and that nothing has rusted (despite being washed in the dishwasher many times over 3 years). The only thing I dislike about the set is that, because of the silicon bottoms, the bowls aren't ideal for creating a makeshift double boiler (like, for melting chocolate); regardless, I have a separate bowl dedicated to using as a makeshift double boiler, so it doesn't really matter much to me.",
56,Redmon Pop Up Hamper,0,56,1,4,"I like the price, that it's fairly compact but can hold quite a bit, that it can fold into a disk (which made packing it up to move incredibly easy), that it has handles, that it's durable (I've carried it via the handles while it was completely full and they didn't rip off as expected), and that it has a zipper closure (I loathe open hampers). The only thing I dislike about it is that it isn't aesthetically pleasing, but I just keep it in my closet, so it's not a big deal.",
57,Convenience Concepts Designs2Go Multi Level TV Stand,0,57,1,5,"I like that it looks a lot more expensive than it actually was, that it was so easy to assemble (didn't need any tools at all--not even an Allen wrench), that it's very sturdy, that it's the perfect size for my 43"" smart TV, that it has a lot of storage space, and that it's durable (it even survived some bad movers that basically threw some of my belongings around). There is nothing I dislike about it.",
58,Rachael Ray Oven Lovin Non-Stick 5-Piece Bakeware Set,0,58,1,5,"I like that literally nothing seems to stick to the pans (even burnt-on cheese), that it has silicon padding on the handles (which makes it so that the pans are less likely to slip out of my hands), that it doesn't rust (even after almost 3 years of washing it in the dishwasher and by hand), that the nonstick coating hasn't started to peel off (like a few other baking pans I had before), that they're durable (I've banged them against things numerous times and there's zero damage), and that they can withstand high heat. The only thing I dislike about the set is that it doesn't include cupcake pans, which is a pretty basic staple of any bakeware set, so I had to buy them separately.",
59,Motorola Moto G4 Play ,0,59,1,4,"Just bought one for my stepdaughter, and it's nice. Really amazing at how far even bottom of the barrel budget phones have come. Motorola isn't particularly loved these days, but 100 dollars for a phone that works on any major US carrier and isn't an all around dismal experience is a win.",
60,Checkered Chef Stainless Steel French Rolling Pin,0,60,1,1,"The only thing I like about it is that it's longer than most rolling pins, which could really come in handy. What I dislike about it is that it's way too light (so a great deal of pressure needs to be applied to the dough to roll it out), everything sticks to it (no matter how much it or the dough is floured), it rusts when washed in the dishwasher (despite supposedly being dishwasher safe), and it's actually coated aluminum (despite being advertised as stainless steel). ",
61,Sili Bake No Slip Silicone Pastry Mat,0,61,1,5,"I like that it doesn't slide around, that a vast majority of doughs don't stick to it, that it always lays completely flat (even though I roll it up to store it), that it's thicker (and therefore more durable) than many other pastry mats, and that it's easy to clean. The only thing I dislike about it is the size--it's a few inches smaller than most pastry mats, so I can't use it to roll out standard 12-inch pizza dough, but it's still the perfect size for virtually everything else I bake, so it's not a big deal at all.",
62,Etekcity Digital Food Scale,0,62,1,4,"I like the price, that it's lightweight and compact, that it's easy to use, that it's backlit (so it's easy to read), that it can display the weight in multiple units of measurement, that it's durable (I've dropped it a few times and it's still in perfect condition), and that it's accurate. One thing I dislike about it is that has issues measuring very low weights (like spices), but I very very rarely need to do that, so it's not a big deal. The other thing I dislike about it is that it doesn't come with a bowl, so I either have to put the food directly on the scale, or use a separate bowl and just zero out the scale.",
63,"Gideon Flameless LED Candle, Vanilla Scented",0,63,1,5,"I like that the scent is potent without being overbearing and lasts a long time (even after almost 3 years of regular usage), that it's made out of real wax (as opposed to plastic), that it's remote-controlled, that it's aesthetically pleasing (so I can leave it out even when it's not in use), that it's dimmable, and that it can be set on a timer. The only thing I dislike about it is that, before you can use the remote control to control it, you first have to turn it on manually.",
64,BECASO iPhone Compatible Lightning Cable,0,64,1,5,"I like that it's so long (unlike the Apple brand lightning cable), that it's actually compatible with my iPhone like it claims to be, that it's extremely cheap, that it still works like it did when I first got it (unlike my Apple lightning cables that all stopped working properly after less than a year), and that it's durable (there's no damage to the cable even after almost 2 years of heavy usage so I haven't even needed to use the other two yet). I have nothing negative to say about this.",
65,Wall mount fastener ,0,65,1,4,I like how easy they are to install and use. I had my whiteboard calendar up in a matter of minutes.  I think they increased the pricing though as it was almost $6 for a set of three.,
66,Samsung Galaxy J7 ,0,66,1,5,"The battery is still fine, average usage around 10% every one hour. The phone rarely lags. for my first Samsung smartphone, I'm happy with it. But I'll probably go higher next time cause my usage is quite heavy.",
67,Backpack,0,67,1,5,"  Good brand, good color, does not weigh, fair size, wide and durable.",
68,trhoat drop,0,68,1,5,  I always buy them help me a lot and relieve me. Good mark,
69,Hat sun,0,69,1,5,"  They are perfect, they adjust to the size of their head, the color is perfect, they do not give heat and protect from the sun, they can be washed and they remain the same.",
70,Tennis Ball Can,0,70,1,5,"  Good brand, correct ball pressure, sealed product without damage.",
71,"Mellanni 4-Piece Sheet Set, Brushed Microfiber 1800 Bedding",0,71,1,5,"I like that it's incredibly soft, that it's very affordable, that it's durable (it's been washed many times and the color hasn't faded and no holes/tears/rips/pills have formed), that it's thicker than most bed sheets, and that they dry fairly quickly. The only thing I dislike about it is that it's not actual wrinkle-resistant--it doesn't wrinkle any more than most bedsheets, but it also doesn't really wrinkle any less.",
72,Gummy Vites,0,72,1,5,They are absolutely perfect! There are no problems or fights to take vitamins is a fun and children remind me that they should take them!,
73,BLU Advance A5 LTE,0,73,1,4,Worst. Phone. Ever.. Battery life is a joke when using mobile data.,
74,Dress Set,0,74,1,5,"  They adjust very well, the beautiful colors, the girls look beautiful with these dresses, perfect quality.",
75,Thermos,0,75,1,4,"  The quality is good, it is resistant, it keeps the water cold for a long time but I find it annoying the hooks to place on the court edge, it always falls",
76,Thermos,0,75,1,4,"  I like the quality of this brand, it keeps the liquid cold for a long time, but I didn't like the colors very much, they are not very bright and some small pieces are not durable, they break easily",
77,Track Jacket,0,77,1,5,"Totally perfect. It fits very well. Bright colors, good quality. I wash in a washing machine and then dry in a dryer and it looks like new, it does not get damaged or change size.",
78,"PowerBar 30g Protein Shake, 14 oz Bottles",0,78,1,5,"I like that it tastes good, that it's creamy instead of chalky, that it's fairly filling (even good as a meal replacement), that it has more protein than most other protein shakes, that it's relatively low in calorie, and that it only has 2 grams of sugar. The only thing I dislike about it is that it has more sodium than most other protein shakes.",
79,Push Up Lace Bras,0,79,1,5,"  It fits very well, the pretty colors, it feels comfortable, I don't feel movement, good quality fabric",
80,case,0,80,1,3,"  Color well, correct product but it is easily damaged, a couple of days after the purchase is damaged and with a lot of use.",
81,shoes,0,81,1,3,"They fit well, correct size, product in good condition but I think it is not very durable, it looks very light.",
82,Tank Top,0,82,1,5,"  I really liked the color, the price was very good, the quality of Nike is always very good",
83,Wire Whisk,0,83,1,5,"    Learn to pronounce  This is a replacement for my mixer that I love, I think this product is of excellent quality.",
84,Overgrip,0,84,1,3,"  I liked the colors, they are bright and very beautiful, the design is also very beautiful but the overgrip is very smooth, the hand slips.",
85,boots,0,85,1,5,Happy girl! The lights work very well. You can turn them off and on at will. My daughter wants to use them every day. They are comfortable and fit very well. The super tough sole.,
86,MOSISO PU Leather Case Compatible with MacBook Pro 13 Inch with Retina Display ,0,86,1,1,"The only thing I liked about this was the price (although it honestly wasn't even worth even that). What I disliked about it is that it looks incredibly cheap, that it seems to be very poorly-made, that it isn't real leather (although that's not surprising considering the price), that it doesn't actually fit my laptop (it's too large so it kept on bunching up and my laptop kept on slipping out), that it prevented my laptop from closing all the way (which meant that it couldn't go to ""sleep""), and that the clasp doesn't stay closed. It's the only Amazon product I've ever returned.",
87,Backpack,0,67,1,5,"  My happy daughter with her bag full of colors. You can play with the sequins and do not fall, which is a big plus!",
88,Overgrip,0,84,1,5,"  Perfect, fits the racket perfectly, does not sweat, does not slip, does not hurt the hand. The color gets very dirty with daily use.",
89,"Cotton Crew Sock, White/Grey Heather Heel",0,89,1,1,"  They are very small, they did not fit my daughter. I look for the right size and it doesn't fit, the size is for a baby.",
90,Uniform Interlock Polo,0,90,1,4,  It is a bit wide but the fabric is good. The size is correct and the quality very well.,
91,Uniform Short Sleeve Polo,0,91,1,5,"  I loved it so much! The fabric is perfect, it looks great, it is not thick or thin, it is perfect.",
92,Backpack,0,67,1,5,"  Very much, the brand is good. Although the model is a bit big. But nothing bothers.",
93, Reli On glucose test strips,0,93,1,5,  I have always bought this for my father and he is 5 with the product.,
94,Cotton Lightly Cushioned Crew Socks,0,94,1,5,"  I liked the softness, the colors are beautiful and the material good",
95,Tile Mate with Replaceable Battery,0,95,1,5,"I like that it's incredibly easy to set up and use, that it has a large range (150 ft), that it's compatible with my Amazon Echo, that the battery is replaceable (as opposed to the old version, which you had to replace altogether when the battery died), that it actually works exactly as it claims it does, and that I can use my keys to find my phone and use my phone to find my keys (it works so well, I actually purchased a few more to put on other items I regularly misplace). The only thing I dislike about it is that it can now only be ""shared"" with 1 other family member--if you want to share with additional family members, it now costs $3 per month.",
96,Febreze Extra Strength Fabric Refresher,0,96,1,5,"I like that it actually gets rid of most orders (including those from pets), that it doesn't have a very strong smell, that it can be used on both clothes and furniture, and that it doesn't leave any sort of stains or residues. The only thing I dislike about it is that (perhaps due to the design of the bottle) it leaves fabrics very wet and can take hours to dry, no matter how light-handed I am when I spray.",
97,Motorola Moto E5 Play,0,97,1,5,"So far pretty impressed with the signal on my e5 play. Oh, and I loaded up my favorite Foo Fighters song on it and the speakers were pretty damn loud. ",
98,Nature Made Melatonin Tablets,0,98,1,4,"I like that it's cheap, that it's over the counter and doesn't come with a risk of dependency, that the tablets are small and easy to swallow, and that it helps me fall asleep much faster than I could on my own (30 minutes vs 2+ hours). What I dislike about it is that it doesn't actually help me stay asleep and that I have to take 2 or 3 tablets for it to actually work. Also, I've found that when I take 3 tablets, it actually causes me to have nightmares.",
